EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
Choice Bros.,Choice Bros.,Double Space Cowboy,"Space Cowboy is Choice Bros biggest beer. It's known for the passion fruit flavour that is imbued into the Kohia Nelson hops and paired with the classic Mosaic. So we have taken that, doubled the dry hop rate and fermented it with passionfruit to really level this bad boy up.",7,Passionfruit Double Hazy IPA,,,,,,,,,,,,,,,,,,,
Choice Bros.,Choice Bros.,Drop The Game,"The viognier grapes come through as an aroma of apricot, honey and cinnamon. Strong bodied, deep sour flavour with an aromatic wine finish to taste",7.2,Viognier Sour Grape Ale,,,,,,,,,,,,,,,,,,,
Choice Bros.,Choice Bros.,Black Pearl,"We took 50 L of high proof rum and aged it in 4 char oak barrels, after we skinned and zested a lot of limes and aged the skins in the rum. All of this was added to a vibrant and punchy stout with some ginger to create the flavour of a Dark 'n' Stormy",8,Dark 'n' Stormy Tropical Stout,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Crimson Badger Brewing,0% Ginger Bear,"The ideal companion for celebrating life’s moments, all whilst keeping your wits about you and waking up feeling refreshed AF",0,Ginger Beer,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Crimson Badger Brewing,Ginger Bear,The best selling in New Zealand for a hot minute now. Balanced perfectly with sweet and the right amount of spice. Made to refresh!,4,Ginger Beer,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Crimson Badger Brewing,Pineapple Ginger Bear,"New, and launching fresh at Beervana 2026 is our Pineapple Ginger Bear. 4% and fresh off the press! ",4,Ginger Beer,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Station Brewing,Par 4 Pale ALE ,NZ Hopped pale ale from our mates at Station Brewing.,4,Pale Ale,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Station Brewing,Prescription Pils,Hoppy + Fruity. Brewed by our mates at Station Brewing.,5,Pilsner  - Fruity,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Crimson Badger Brewing,Dark & Grizzly,"After a couple of years on the circuit and enough questions about making it  a permanent fixture, we came up with this. Based on the classic dark & stormy but the our Ginger Bear and a dash of rum. Goes well anywhere! ",5.8,Ginger Beer w/Rum,,,,,,,,,,,,,,,,,,,
Crimson Badger Brewing,Crimson Badger Brewing,Mulled Wine,"New recipe for this year. 6% perfection for the cold, fireside or just a good time",6,Fruited wine,,,,,,,,,,,,,,,,,,,
